Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Juan Corniel","ARI","3B","A+","20.825",,29,"20 / 40","20 / 40","30 / 45","60 / 60","40",422,0.311163895,0.304812834,0.072192514,0.090047393,0.180094786,72.9704920457908,"sa3015169"
"Yerlin Confidan","CIN","RF","A","20.6194444",,19,"30 / 35","35 / 60","60 / 70","50 / 40","40+",264,0.272727272,0.338912133,0.142259414,0.087121212,0.265151515,67.31786311727859,"sa3015176"
"Wilfred Veras","CHW","1B","AA","20.7055555",,23,"30 / 35","35 / 50","60 / 70","40 / 40","35+",566,0.323321554,0.463878326,0.178707224,0.049469964,0.256183745,108.77158778352947,"sa3015178"
"Yeiner Fernandez","LAD","C","AA","20.8611111",,19,"30 / 55","30 / 35","30 / 40","50 / 50","40+",433,0.360277136,0.37533512,0.101876675,0.108545034,0.129330254,111.2849859558095,"sa3015182"
"Vincent Perozo","NYM","C","A","20.3972222",,26,"30 / 35","35 / 45","45 / 55","40 / 40","35+",342,0.321637426,0.38047138,0.154882155,0.093567251,0.30116959,93.8697577670604,"sa3015188"
"Adrian Sugastey","SFG","C","AA","20.7666666",,46,"25 / 50","20 / 30","40 / 45","20 / 20","35+",266,0.338345864,0.425702811,0.124497992,0.04887218,0.139097744,106.08763644026274,"sa3015190"
"Kala'i Rosario","MIN","LF","AA","21.075",,23,"30 / 35","35 / 55","55 / 60","50 / 40","40",551,0.364791288,0.480603448,0.226293104,0.139745916,0.303085299,135.37243253788535,"sa3015199"
"Jose Fernandez","ARI","SS","A+","19.8527777",,28,"20 / 35","20 / 40","35 / 50","60 / 60","40",394,0.319796954,0.377464788,0.115492958,0.078680203,0.233502538,89.56849512489626,"sa3015204"
"Ricardo Olivar","MIN","C","AA","21.9694444",,26,"30 / 35","30 / 45","45 / 55","45 / 40","35+",449,0.40311804,0.451612903,0.166666667,0.131403118,0.207126948,135.8889033556571,"sa3015234"
"Edgar Quero","LAA","C","AAA","20.3138888",89,3,"40 / 50","30 / 45","50 / 55","30 / 20","50",466,0.379828326,0.34574468,0.093085106,0.160944206,0.165236051,104.46618676279564,"sa3015239"
