Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Sean Sullivan","COL","SP","AA","22.0055555",,21,"45 / 50","50 / 50","","50 / 55","35 / 55","40",115.1,0.28153153,0.03378378,0.311643835,2.1069365091020225,3.2256002432918205,"sa3023162"
"Caden Grice","ARI","SP","A","22.1083333",,23,"40 / 40","55 / 60","","45 / 50","30 / 50","40",50.1,0.31192661,0.13302752,0.486725663,3.7549672668626055,4.308128712707791,"sa3023166"
"Cody Adcock","CIN","SIRP","A+","22.0916666",,39,"55 / 60","40 / 45","45 / 50","55 / 60","30 / 40","35+",50.2,0.27027027,0.12162162,0.390243902,3.907894491654039,4.220903296206769,"sa3023175"
"Josh Ekness","MIA","SIRP","AA","22.4638888",,22,"70 / 70","40 / 50","","","30 / 40","40",66,0.30970149,0.09701493,0.425675675,1.9090909090909092,3.4789545708307714,"sa3023204"
"Kade Morris","NYM","SP","AAA","22.0916666",,28,"45 / 50","45 / 50","50 / 50","45 / 50","30 / 50","35+",136,0.20439189,0.07601351,0.4975,4.499999558224441,4.091443066368423,"sa3023206"
"Hayden Mullins","BOS","SP","A+","23.8611111",,35,"45 / 50","55 / 60","","40 / 50","30 / 50","35+",89,0.3033419,0.10796915,0.426540284,3.943820224719101,3.6984141983342975,"sa3023218"
"Thomas White","MIA","SP","A+","19.8194444",,4,"55 / 60","55 / 60","","40 / 50","20 / 45","45+",96,0.2919708,0.09245742,0.462809917,2.8125,3.2189171897557878,"sa3023268"
"Owen Wild","TBR","SP","A+","21.9833333",,21,"55 / 55","50 / 50","","40 / 50","30 / 45","40",121.1,0.30382294,0.06237425,0.337662337,2.81868143683974,3.2269566466504562,"sa3023278"
"Drue Hackenberg","ATL","SP","AAA","22.3138888",,7,"50 / 50","55 / 60","45 / 55","30 / 40","35 / 50","45",129,0.26325411,0.11334552,0.539184952,3.0697674872489675,3.699225269683406,"sa3023304"
"Cade Kuehler","ATL","SIRP","A+","22.1666666",,22,"40 / 50","55 / 60","","","30 / 40","40",53,0.20779221,0.1038961,0.4,3.7358490566037736,4.316967694658153,"sa3023306"
"Connelly Early","BOS","SP","AA","22.3083333",,34,"40 / 45","45 / 50","","45 / 55","35 / 60","35+",103.2,0.30803571,0.08705357,0.54,3.993569523710836,3.094711221432356,"sa3023308"
"Garrett Baumann","ATL","SP","A+","19.9416666",,12,"40 / 45","40 / 45","","45 / 60","35 / 60","40+",99,0.21867322,0.05651106,0.480565371,3.1818181818181817,3.4114096505172324,"sa3023310"
"Landen Maroudis","TOR","SP","A","19.6055555",,18,"45 / 50","40 / 50","","40 / 55","25 / 55","40",10.2,0.31578947,0.10526316,0.666666666,0.8437497485429798,2.9460465996003453,"sa3023351"
"Juaron Watts-Brown","TOR","SP","A+","22.4194444",,13,"35 / 45","60 / 60","60 / 60","40 / 50","30 / 50","40+",103,0.28918322,0.13245033,0.398406374,4.718446601941747,4.026036637443695,"sa3023352"
"Chase Dollander","COL","SP","AA","22.7444444",83,1,"55 / 55","55 / 55","40 / 45","40 / 55","30 / 45","50",118,0.33867735,0.09418838,0.366037735,2.593220338983051,3.2416309508984376,"sa3023361"
"Austin Strickland","SFG","SP","A+","22.15",,30,"55 / 60","50 / 55","45 / 50","","30 / 40","35+",50.1,0.2173913,0.11304348,0.531034482,4.470198110845943,4.4666673010613875,"sa3023380"
"Jackson Finley","OAK","SP","A","23.8583333",,31,"55 / 55","45 / 55","","45 / 50","30 / 40","35+",83.1,0.24352332,0.10880829,0.423580786,5.616000342773458,4.873951329905886,"sa3023406"
"Quinn Mathews","STL","SP","AAA","23.8055555",,11,"50 / 50","45 / 50","40 / 45","60 / 65","40 / 50","40+",143.1,0.35438596,0.08596491,0.468646864,2.7627905751254693,2.717263416351195,"sa3023407"
"Josh Knoth","MIL","SP","A","18.9555555",,7,"55 / 60","20 / 55","60 / 70","40 / 55","20 / 50","45",84.1,0.26592798,0.11080332,0.449074074,4.482213709063848,3.5737837013232916,"sa3023420"
"Alex Clemmey","CLE","SIRP","A","19.0166666",,13,"55 / 70","","45 / 55","30 / 45","20 / 40","40+",92.1,0.31457801,0.16112532,0.52020202,4.581227689184068,3.5511618214903815,"sa3023421"
