Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Yerry De Los Santos","PIT","SIRP","MLB","23.4694444",,46,"55 / 60","50 / 55","","","35 / 40","35+",27.2,0.27358491,0.08490566,0.564516129,1.626505837210019,3.967923419447715,"21420"
"Ryan Feltner","COL","SP","MLB","24.7472222",,18,"50 / 50","50 / 50","45 / 50","50 / 55","40 / 50","40",112.2,0.27136752,0.08974359,0.389830508,2.955621612415949,4.337821353270858,"21446"
"Cole Sands","MIN","SP","MLB","23.8722222",,15,"50 / 55","","55 / 55","45 / 50","40 / 45","40+",80.1,0.28742515,0.10479042,0.391752577,2.464730446509552,4.413909555876384,"21461"
"Sean Hjelle","SFG","SP","MLB","24.0666666",,21,"50 / 50","","45 / 50","45 / 50","45 / 55","40+",120,0.19771863,0.09125475,0.540389972,4.275000543594429,4.735036733300655,"21481"
"Shane McClanahan","TBR","MIRP","MLB","24.0916666",127,9,"65 / 65","","55 / 60","40 / 45","35 / 40","50",3,0.7,0,0.666666666,0,-1.0879282633463538,"21483"
"Thaddeus Ward","BOS","MIRP","AAA","24.375",,14,"45 / 50","50 / 55","45 / 45","40 / 45","40 / 45","40+",12,0.24590164,0.14754098,0.5,4.5,5.523012104257942,"21513"
"James McArthur","PHI","SP","MLB","24.4722222",,18,"55 / 60","50 / 55","50 / 55","35 / 40","30 / 45","40",78.1,0.24776119,0.07164179,0.488372093,4.251064105813151,4.12494731834877,"21527"
"Daniel Lynch IV","KCR","SP","MLB","24.5388888",63,3,"60 / 60","50 / 55","50 / 50","45 / 55","40 / 50","50",68.2,0.24516129,0.07741935,0.43902439,6.160193889571908,3.913338860381554,"21537"
"Reiss Knehr","SDP","MIRP","","24.5777777",,8,"45 / 50","45 / 50","","50 / 55","40 / 45","40+",84,0.21929825,0.09649123,0.470588235,3.4285718956772797,4.97771844203382,"21541"
"Jackson Kowar","KCR","SIRP","MLB","24.6583333",,8,"55 / 60","","45 / 45","70 / 70","40 / 45","45",92.1,0.31486146,0.10327456,0.446428571,4.386281920678185,3.5493278137597764,"21549"
"Tristan Beck","SFG","SP","MLB","24.9361111",,12,"50 / 50","45 / 45","55 / 55","55 / 55","40 / 45","45",38.1,0.23295455,0.07954545,0.452173913,6.104348332309584,4.51891832668254,"21584"
"Luis Medina","NYY","MIRP","MLB","22.0777777",99,5,"65 / 70","","60 / 70","45 / 55","30 / 40","50",108,0.29067245,0.14099783,0.5078125,3.500000057948961,4.163582272302034,"21649"
